timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_volume_0,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_volume_0,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4
1743640402,83272.29000000,83270.63000000,83270.61000000,83270.58000000,83270.53000000,4.51396000,0.00007000,0.38741000,0.04149000,0.00000000,83272.30000000,83272.33000000,83272.55000000,83273.02000000,83273.14000000,1.95034000,0.00007000,0.01514000,0.00007000,0.00047000
1743640403,83272.29000000,83272.00000000,83271.47000000,83271.43000000,83270.64000000,3.92854000,0.05797000,0.00000000,0.17333000,0.00007000,83272.30000000,83272.31000000,83272.54000000,83272.55000000,83272.98000000,2.18941000,0.00209000,0.00021000,0.01514000,0.00007000
1743640404,83272.29000000,83270.63000000,83270.62000000,83270.58000000,83269.84000000,3.46366000,0.34548000,0.00000000,0.00000000,0.00000000,83272.30000000,83272.31000000,83272.55000000,83273.02000000,83273.07000000,2.04710000,0.00198000,0.01514000,0.00007000,0.00007000
1743640405,83272.29000000,83267.57000000,83266.30000000,83265.38000000,83263.87000000,3.46498000,0.00000000,0.00000000,0.00000000,0.00000000,83272.30000000,83272.54000000,83272.55000000,83272.94000000,83273.02000000,2.03705000,0.00021000,0.01514000,0.00007000,0.00007000
1743640406,83272.29000000,83267.69000000,83261.72000000,83259.89000000,83257.30000000,3.88429000,0.11355000,0.00000000,0.02622000,0.00000000,83272.30000000,83272.55000000,83273.98000000,83273.99000000,83274.34000000,2.03448000,0.01514000,0.00000000,0.00045000,0.00251000
1743640407,83272.29000000,83272.01000000,83272.00000000,83271.44000000,83271.43000000,3.53938000,0.00194000,0.05797000,0.00000000,0.00000000,83272.30000000,83272.31000000,83272.32000000,83272.54000000,83272.55000000,1.78095000,0.00198000,0.00015000,0.00021000,0.01514000
1743640408,83285.99000000,83285.98000000,83285.76000000,83285.57000000,83285.48000000,0.97123000,0.00096000,0.00000000,0.00007000,0.00000000,83272.30000000,83272.31000000,83272.32000000,83272.33000000,83272.54000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1743640409,83285.99000000,83285.98000000,83285.59000000,83285.58000000,83285.57000000,2.20817000,0.00096000,0.00007000,0.00151000,0.00127000,83286.00000000,83286.01000000,83286.13000000,83286.14000000,83286.15000000,1.79320000,0.00206000,0.00029000,0.00259000,0.00007000
1743640410,83285.99000000,83285.92000000,83283.87000000,83283.70000000,83283.63000000,2.22991000,0.00000000,0.03078000,0.02000000,0.00000000,83286.00000000,83286.01000000,83286.12000000,83286.13000000,83286.16000000,1.43371000,0.00206000,0.00021000,0.13642000,0.00007000
1743640411,83289.14000000,83289.13000000,83288.88000000,83288.84000000,83288.80000000,4.19202000,0.00007000,0.00000000,0.00007000,0.04831000,83286.00000000,83286.01000000,83286.12000000,83286.13000000,83286.14000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
