timestamp,bid_price_0,bid_price_1,bid_price_2,bid_price_3,bid_price_4,bid_volume_0,bid_volume_1,bid_volume_2,bid_volume_3,bid_volume_4,ask_price_0,ask_price_1,ask_price_2,ask_price_3,ask_price_4,ask_volume_0,ask_volume_1,ask_volume_2,ask_volume_3,ask_volume_4
1745389702,93766.55000000,93765.60000000,93765.55000000,93764.02000000,93764.01000000,4.96051000,0.04504000,0.00000000,0.00224000,0.00000000,93766.56000000,93767.72000000,93767.73000000,93767.74000000,93767.83000000,1.38048000,0.00000000,0.00000000,0.00000000,0.00012000
1745389703,93766.55000000,93765.60000000,93765.56000000,93765.50000000,93765.49000000,5.59323000,0.04510000,0.00000000,0.00012000,0.70371000,93766.56000000,93767.21000000,93767.22000000,93769.76000000,93772.53000000,1.44555000,0.00000000,0.00000000,0.00006000,0.79466000
1745389704,93766.55000000,93759.20000000,93757.81000000,93755.77000000,93754.99000000,5.60859000,0.04270000,0.00779000,0.00000000,0.00010000,93766.56000000,93767.85000000,93769.37000000,93770.00000000,93773.04000000,1.13839000,0.70370000,0.00006000,0.00000000,0.02874000
1745389705,93766.55000000,93760.48000000,93760.09000000,93759.59000000,93759.34000000,5.64597000,0.00006000,0.00000000,0.00000000,0.00000000,93766.56000000,93767.14000000,93767.39000000,93767.40000000,93767.46000000,0.74267000,0.00006000,0.00000000,0.00000000,0.00000000
1745389706,93766.55000000,93766.32000000,93765.78000000,93765.77000000,93765.76000000,5.60158000,0.00052000,0.00261000,0.31593000,0.70371000,93766.56000000,93767.14000000,93767.50000000,93767.51000000,93767.62000000,1.14074000,0.00000000,0.00000000,0.00000000,0.00006000
1745389707,93766.55000000,93766.32000000,93765.77000000,93765.76000000,93765.66000000,5.10690000,0.00000000,0.23572000,0.00000000,0.00000000,93766.56000000,93766.93000000,93767.84000000,93767.87000000,93768.48000000,1.20843000,0.00007000,0.47469000,0.00000000,0.70369000
1745389708,93766.55000000,93765.60000000,93765.23000000,93765.22000000,93763.48000000,5.60233000,0.04504000,0.00012000,0.70372000,0.02877000,93766.56000000,93767.84000000,93768.48000000,93769.29000000,93770.43000000,0.86912000,0.47463000,0.70369000,0.04006000,0.00000000
1745389709,93766.55000000,93766.42000000,93766.41000000,93766.40000000,93766.39000000,4.49556000,0.00000000,0.00388000,0.00000000,0.00000000,93766.56000000,93766.92000000,93768.48000000,93768.76000000,93769.29000000,4.23991000,0.00000000,0.70369000,0.00000000,0.00000000
1745389710,93766.55000000,93765.77000000,93765.61000000,93765.60000000,93763.49000000,3.69127000,0.01499000,0.00000000,0.00228000,0.00012000,93766.56000000,93766.67000000,93771.26000000,93771.53000000,93773.20000000,4.70818000,0.00000000,0.02879000,0.00000000,0.10474000
1745389711,93766.55000000,93766.02000000,93766.01000000,93765.91000000,93765.78000000,3.57132000,0.00012000,0.02902000,0.00000000,0.00249000,93766.56000000,93766.66000000,93766.67000000,93766.75000000,93766.76000000,4.59779000,0.00000000,0.00000000,0.00012000,0.02805000
1745389712,93766.55000000,93766.02000000,93766.01000000,93765.95000000,93765.94000000,3.81222000,0.00000000,0.00000000,0.00012000,0.01012000,93766.56000000,93766.76000000,93767.62000000,93767.83000000,93767.84000000,4.58937000,0.02805000,0.00000000,0.00000000,0.00000000
1745389713,93766.55000000,93765.94000000,93765.91000000,93765.00000000,93763.96000000,3.83477000,0.01012000,0.00364000,0.00266000,0.03775000,93766.56000000,93766.66000000,93766.67000000,93771.15000000,93772.53000000,4.48384000,0.00000000,0.00000000,0.21419000,0.65622000
1745389714,93766.55000000,93765.94000000,93764.07000000,93764.06000000,93763.97000000,3.83804000,0.01012000,0.00000000,0.00000000,0.00000000,93766.56000000,93766.75000000,93766.76000000,93767.94000000,93772.53000000,4.19741000,0.00000000,0.00000000,0.00000000,0.65622000
